Date,Code,Description,Unit of Measure,Value
1987/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,574.4
1987/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,575.3
1988/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,587.1
1988/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,579.8
1988/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,577.3
1988/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,601.6
1988/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,597.3
1988/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,580.8
1988/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,597.0
1988/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,583.5
1988/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,594.8
1988/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,582.9
