"Date","Price","Open","High","Low","Vol.","Change %"
"12/25/2023","37,802.05","37,876.52","37,985.65","37,823.34","","-0.16%"
"12/22/2023","37,861.17","37,571.30","38,220.64","37,548.84","","0.88%"
"12/21/2023","37,532.09","37,255.26","37,640.04","37,058.05","","0.93%"
"12/20/2023","37,187.19","37,373.08","37,498.28","37,039.68","","-0.43%"
"12/19/2023","37,347.79","37,677.91","37,782.92","37,312.53","","-0.74%"
"12/18/2023","37,625.30","37,040.98","37,806.07","36,907.36","","1.63%"
"12/15/2023","37,022.08","37,303.05","37,458.48","36,896.47","","-0.80%"
"12/14/2023","37,320.56","37,877.77","38,095.43","37,151.35","","-1.44%"
"12/13/2023","37,863.94","37,541.50","37,928.68","37,495.19","","0.95%"
"12/12/2023","37,507.17","37,813.96","37,969.43","37,457.06","","-0.79%"
"12/11/2023","37,804.37","37,996.18","38,221.84","37,745.52","","-0.45%"
"12/08/2023","37,976.86","38,168.54","38,491.20","37,853.52","","-0.17%"
"12/07/2023","38,040.42","38,409.80","38,624.75","37,924.30","","-0.93%"
"12/06/2023","38,397.83","38,271.93","38,522.80","38,096.52","","0.41%"
"12/05/2023","38,242.36","38,166.50","38,425.55","38,032.05","","0.27%"
"12/04/2023","38,140.64","38,610.07","39,287.69","38,040.80","","-1.12%"
"12/01/2023","38,571.36","38,398.32","38,651.48","37,978.13","","0.48%"
"11/30/2023","38,386.36","38,340.21","38,645.37","38,165.48","","0.16%"
"11/29/2023","38,323.31","37,961.98","38,371.86","37,664.46","","1.00%"
"11/28/2023","37,942.91","37,609.20","38,027.64","37,488.09","","0.95%"
"11/27/2023","37,585.83","37,716.30","37,950.34","37,457.80","","-0.24%"
"11/24/2023","37,677.88","37,486.52","37,942.56","37,389.39","","0.60%"
"11/23/2023","37,454.22","37,589.64","37,672.93","37,293.60","","-0.26%"
"11/22/2023","37,552.68","37,263.95","37,677.22","37,093.00","","0.93%"
"11/21/2023","37,205.24","36,274.68","37,326.20","36,223.80","","2.62%"
"11/20/2023","36,254.92","36,392.36","36,456.45","36,132.31","","-0.32%"
"11/17/2023","36,370.56","36,408.68","36,671.14","36,301.05","","0.04%"
"11/16/2023","36,357.77","35,632.35","36,544.21","35,599.23","","2.11%"
"11/15/2023","35,606.49","35,779.66","35,990.31","35,611.65","","-0.48%"
"11/14/2023","35,778.47","36,443.14","36,547.30","35,738.45","","-1.75%"
"11/13/2023","36,415.94","36,329.28","36,480.73","36,137.64","","0.46%"
"11/10/2023","36,249.54","36,543.26","36,638.79","36,223.54","","-0.72%"
"11/09/2023","36,513.33","36,024.89","36,600.05","35,937.09","","1.41%"
"11/08/2023","36,007.18","36,095.38","36,430.08","35,993.20","","-0.12%"
"11/07/2023","36,049.53","36,177.63","36,272.46","35,940.32","","-0.24%"
"11/06/2023","36,137.79","36,410.96","36,454.46","36,053.35","","-0.61%"
"11/03/2023","36,361.00","36,593.86","36,775.46","36,239.91","","-0.56%"
"11/02/2023","36,567.11","36,708.77","36,807.07","36,401.98","","-0.20%"
"11/01/2023","36,639.86","36,993.64","37,199.00","36,618.11","","-0.90%"
"10/31/2023","36,973.29","37,639.77","37,809.02","36,927.07","","-1.76%"
"10/30/2023","37,634.26","37,866.61","37,868.72","37,370.77","","-0.46%"
"10/27/2023","37,808.70","37,633.84","37,882.75","37,112.49","","0.52%"
"10/26/2023","37,611.91","37,859.36","38,280.03","37,468.56","","-0.58%"
"10/25/2023","37,831.49","37,546.36","38,006.09","37,416.61","","0.84%"
"10/24/2023","37,518.01","37,315.57","37,654.24","37,248.77","","0.34%"
"10/23/2023","37,390.87","37,675.07","37,882.15","37,323.28","","-0.55%"
"10/20/2023","37,597.94","37,551.23","37,956.02","37,446.79","","0.16%"
"10/19/2023","37,537.74","36,955.12","37,588.73","36,945.38","","1.63%"
"10/18/2023","36,935.42","36,198.47","37,180.30","36,145.76","","2.10%"
"10/17/2023","36,175.78","36,055.02","36,456.19","35,907.13","","0.40%"
"10/16/2023","36,032.13","36,679.23","36,730.69","35,974.88","","-1.76%"
"10/13/2023","36,677.54","35,522.73","36,783.91","35,465.98","","3.22%"
"10/12/2023","35,534.03","35,291.05","35,634.16","35,256.89","","0.73%"
"10/11/2023","35,275.11","35,401.61","35,500.31","35,127.21","","-0.27%"
"10/10/2023","35,369.30","35,996.23","36,072.70","35,324.91","","-1.70%"
"10/09/2023","35,980.61","35,499.45","36,034.75","35,443.36","","1.77%"
"10/06/2023","35,355.34","35,543.10","35,664.57","35,210.11","","-0.44%"
"10/05/2023","35,512.18","35,220.32","35,729.91","35,188.39","","0.97%"
"10/04/2023","35,171.36","35,241.43","35,359.71","35,010.35","","-0.18%"
"10/03/2023","35,234.05","35,132.09","35,388.34","34,953.36","","0.36%"
"10/02/2023","35,107.01","34,907.29","35,257.35","34,758.27","","0.40%"
"09/29/2023","34,965.65","35,396.58","35,537.23","34,915.11","","-1.20%"
"09/28/2023","35,390.61","36,010.88","36,131.82","35,323.46","","-1.66%"
"09/27/2023","35,987.86","36,255.38","36,403.41","35,957.15","","-0.67%"
